Invoice ID,Customer Name,Invoice Date,Due Date,Amount,Region
INV-10053,Cascade Retail,2025-12-16,2026-01-15,804.94,APAC
INV-10271,Atlas Industries,2025-03-31,2025-04-15,5416.18,EMEA
INV-12148,Harbor Holdings,2025-10-21,2025-11-20,702.29,LATAM
INV-11941,Falcon Holdings,2025-09-09,2025-10-24,1953.24,North America
INV-12393,Granite Logistics,2025-09-24,2025-10-24,384.95,North America
INV-10195,Brightpath Solutions,2025-01-15,2025-03-16,1729.98,EMEA
INV-12976,Summit Retail,2025-02-14,2025-04-15,1628.12,EMEA
INV-10507,Meridian Supply Co.,2025-12-20,2026-02-18,868.57,APAC
INV-11645 ,Ironwood Supply Co.,2025-05-22,2025-06-21,568.98,APAC
INV-12454,Granite Industries,2025-11-09,2025-11-24,777.29,APAC
INV-12988,Cedar Industries,2025-12-22,2026-01-21,1610.07,APAC
INV-10197,Vantage Logistics,2025-02-17,2025-03-19,668.16,LATAM
INV-11544,Summit Manufacturing,2025-04-16,2025-05-31,981.04,APAC
INV-10791,Redwood Solutions,2025-08-22,2025-10-06,2179.08,North America
INV-10747,Atlas Consulting,2025-02-12,2025-03-14,1751.26,North America
INV-12987,Vantage Supply Co.,2025-02-19,2025-03-21,1325.52,LATAM
INV-12470,,2025-02-24,2025-03-26,1226.13,EMEA
INV-10768,Anchor Manufacturing,2025-09-11,2025-10-11,7286.08,EMEA
INV-10417,Crescent Industries,2025-01-22,2025-03-23,5979.17,LATAM
INV-10680,Cedar Industries,2025-12-14,2026-01-28,4648.96,EMEA
INV-11436,Summit Supply Co.,2025-01-16,2025-03-02,1908.98,EMEA
INV-10001,Harbor Manufacturing,2025-04-19,2025-06-03,2314.72,APAC
INV-10064,Redwood Holdings,2025-12-14,2026-01-28,504.42,North America
INV-10103,Union Consulting,2025-07-19,2025-08-18,1087.41,EMEA
INV-11678,Granite Group,2025-12-01,2025-12-16,5820.75,North America
INV-12649,Vantage Supply Co.,2025-09-15,2025-11-14,1501.25,APAC
INV-11208,Crescent Supply Co.,2025-12-28,2026-01-27,815.16,North America
INV-12688,Anchor Manufacturing,2025-12-18,2026-02-16,371.66,LATAM
INV-10692,Summit Solutions,2025-11-24,2026-01-23,4202.34,LATAM
INV-12803,Redwood Manufacturing,2025-04-21,2025-05-21,2028.03,EMEA
INV-11722,Redwood Consulting,2025-08-03,2025-09-02,1171.93,EMEA
INV-11588,Summit Holdings,2025-07-04,2025-08-03,1063.88,APAC
INV-12399,Falcon Partners,2025-02-05,2025-03-07,1783.87,EMEA
INV-12955,Sterling Group,2025-03-17,2025-04-16,630.16,EMEA
INV-12794,Ironwood Manufacturing,2025-01-06,2025-02-20,642.89,North America
INV-10786,Northgate Industries,2025-03-25,2025-04-24,3915.52,APAC
INV-10941,Anchor Logistics,2025-08-26,2025-10-10,467.65,North America
INV-11776,Brightpath Logistics,2025-10-22,2025-11-21,451.23,APAC
INV-10015,Falcon Industries,2025-05-08,2025-06-07,313.43,LATAM
INV-11886,Meridian Supply Co.,2025-02-26,2025-04-12,1904.82,LATAM
INV-11651,Summit Solutions,2025-03-15,2025-04-29,2494.07,EMEA
INV-12514,Cascade Solutions,2025-11-20,2026-01-19,1176.78,APAC
INV-12120,Northgate Holdings,2025-03-05,2025-03-20,1246.48,LATAM
INV-12251,Harbor Industries,2025-07-08,2025-07-23,1319.76,EMEA
INV-12840,Silverline Partners,2025-04-10,2025-05-25,1282.88,LATAM
INV-10858,Meridian Solutions,2025-04-01,2025-05-01,2262.61,APAC
INV-11117,Cedar Group,2025-06-11,2025-06-26,12875.4,North America
INV-10193,Cedar Solutions,2025-04-15,2025-05-15,1794.86,EMEA
INV-10094,Brightpath Solutions,2025-09-24,2025-10-24,1102.24,APAC
INV-10175,Bluepeak Group,2025-08-13,2025-08-28,1898.88,APAC
INV-12532,Summit Partners,2025-12-03,2025-12-18,643.07,APAC
INV-10140,Northgate Partners,2025-08-18,2025-09-02,488.93,APAC
INV-10052,Granite Industries,2025-07-06,2025-07-21,1046.73,EMEA
INV-12103,Ironwood Group,2025-08-15,2025-09-14,676.75,North America
INV-10033,Brightpath Partners,2025-05-16,2025-06-15,1462.43,APAC
INV-12899,Falcon Industries,2025-03-29,2025-04-13,1142.87,APAC
INV-11318,Ironwood Group,2025-08-13,2025-10-12,1124.73,EMEA
INV-10737,Pinnacle Holdings,2025-02-17,2025-04-18,1863.9,APAC
INV-11810,Silverline Partners,2025-04-02,2025-05-02,3312.75,North America
INV-11331,Anchor Consulting,2025-07-04,2025-07-19,5870.39,North America
INV-12334,Pinnacle Holdings,2025-09-15,2025-11-14,1073.49,APAC
INV-10782,Northgate Consulting,2025-05-06,2025-05-21,445.05,North America
INV-11351,Ironwood Consulting,2025-04-05,2025-04-20,516.41,EMEA
INV-10315,Sterling Logistics,2025-12-14,2026-02-12,4793.09,APAC
INV-11236,Sterling Group,2025-07-15,2025-09-13,6471.77,EMEA
INV-10299,Silverline Manufacturing,2025-06-29,2025-08-13,3076.59,North America
INV-11875,Pinnacle Industries,2025-07-15,2025-08-29,4959.86,EMEA
INV-11676,Brightpath Holdings,2025-12-14,2026-01-28,1107.56,EMEA
INV-10252,Cascade Supply Co.,2025-08-30,2025-09-14,3381.5,APAC
INV-12742,Summit Consulting,2025-10-16,2025-11-15,2246.12,North America
INV-12406,Silverline Supply Co.,2025-05-20,2025-06-19,4946.4,APAC
INV-12179,Sterling Holdings,2025-05-18,2025-07-02,9147.59,EMEA
INV-12891,Pinnacle Group,2025-08-29,2025-09-13,1680.98,APAC
INV-10437,Northgate Holdings,2025-09-18,2025-10-18,6410.89,
INV-11412,Granite Consulting,2025-08-14,2025-08-29,2442.08,EMEA
INV-12475,Cascade Manufacturing,2025-10-22,2025-12-06,1945.82,APAC
INV-12052,Atlas Holdings,2025-06-04,2025-06-19,678.3,EMEA
INV-10255,Cascade Logistics,2025-03-13,2025-03-28,377.12,APAC
INV-10950,Falcon Retail,2025-12-16,2025-12-31,1842.73,EMEA
INV-10810,Bluepeak Retail,2025-01-01,2025-03-02,661.73,APAC
INV-10487,Crescent Supply Co.,2025-11-07,2025-12-22,827.23,APAC
INV-11846,Pinnacle Consulting,2025-09-16,2025-10-31,587.04,
INV-11872,Silverline Industries,2025-09-12,2025-10-12,1219.96,North America
INV-11994,Crescent Solutions,2025-01-23,2025-02-22,2800.28,APAC
INV-10292,Atlas Retail,2025-07-10,2025-08-09,949.85,North America
INV-10185,Crescent Consulting,2025-12-10,2025-12-25,1210.61,APAC
INV-11499 ,Silverline Solutions,2025-12-23,2026-01-22,3720.66,North America
INV-12160,Ironwood Industries,2025-01-10,2025-02-09,2445.3,EMEA
INV-10267,Atlas Holdings,2025-06-20,2025-07-20,6432.83,EMEA
INV-11106,Cascade Partners,2025-09-07,2025-09-22,580.61,EMEA
INV-11905,Anchor Industries,2025-04-14,2025-05-14,1344.03,EMEA
INV-11018,Granite Manufacturing,2025-07-04,2025-09-02,957.67,LATAM
INV-10880,Redwood Manufacturing,2025-01-06,2025-02-05,4313.71,EMEA
INV-10212,Sterling Holdings,2025-02-21,2025-03-23,4113.42,LATAM
INV-10979,Northgate Manufacturing,2025-03-15,2025-04-14,355.84,North America
INV-11792,Meridian Solutions,2025-04-10,2025-05-10,1641.76,North America
INV-11615,Brightpath Holdings,2025-10-30,2025-12-29,1258.36,LATAM
INV-11101,Sterling Supply Co.,2025-12-09,2026-01-08,3634.44,EMEA
INV-11214,Sterling Group,2025-02-02,2025-03-04,3312.41,APAC
INV-11085,Sterling Supply Co.,2025-04-10,2025-05-10,2087.54,EMEA
INV-12552,Sterling Holdings,2025-05-21,2025-06-05,272.62,LATAM
INV-12564,Northgate Manufacturing,2025-12-28,2026-01-27,1862.82,LATAM
INV-11289,Vantage Supply Co.,2025-01-14,2025-02-13,548.38,North America
INV-10176,Summit Retail,2025-12-25,2026-01-24,3116.5,LATAM
INV-11612,Summit Supply Co.,2025-09-16,2025-10-01,362.54,APAC
INV-10403,Cascade Partners,2025-08-23,2025-09-07,1487.3,EMEA
INV-10046,Crescent Partners,2025-05-22,2025-06-06,774.44,APAC
INV-11607,Sterling Manufacturing,2025-06-30,2025-07-30,1653.09,EMEA
INV-11269,Pinnacle Manufacturing,2025-09-07,2025-10-07,763.58,North America
INV-12908,Granite Holdings,2025-06-14,2025-08-13,535.36,EMEA
INV-12430,Pinnacle Logistics,2025-08-05,2025-09-04,1095.9,APAC
INV-10204,Ironwood Logistics,2025-01-02,2025-02-01,3821.59,LATAM
INV-11287,Cascade Retail,2025-03-27,2025-04-26,283.56,North America
INV-10145,Pinnacle Manufacturing,2025-05-19,2025-06-18,1870.38,EMEA
INV-12654,Falcon Partners,2025-03-10,2025-04-09,3742.55,EMEA
INV-10344,Silverline Holdings,2025-08-25,2025-10-09,938.0,North America
INV-12765,Northgate Holdings,2025-11-29,2025-12-29,1859.1,LATAM
INV-10247,Anchor Logistics,2025-03-14,2025-04-13,965.41,APAC
INV-10545,Cedar Solutions,2025-08-01,2025-09-30,160.06,LATAM
INV-11466,Northgate Retail,2025-06-05,2025-07-05,2514.23,EMEA
INV-11469,Northgate Manufacturing,2025-09-14,2025-09-29,504.57,EMEA
INV-11567,Falcon Logistics,2025-10-18,2025-11-17,1572.3,EMEA
INV-11812,Redwood Solutions,2025-11-03,2026-01-02,1689.37,LATAM
INV-12724,Sterling Retail,2025-02-26,2025-03-28,5616.69,North America
INV-10529,Redwood Holdings,2025-04-09,2025-04-24,1870.11,EMEA
INV-11560,Bluepeak Consulting,2025-06-28,2025-08-12,1159.78,EMEA
INV-10679,Summit Logistics,2025-08-17,2025-09-16,3436.16,LATAM
INV-11317,Atlas Logistics,2025-02-22,2025-03-24,567.59,EMEA
INV-11777,Ironwood Industries,2025-07-09,2025-08-08,853.55,North America
INV-10369,Sterling Supply Co.,2025-11-09,2025-12-09,1616.32,EMEA
INV-11411,Cascade Solutions,2025-03-28,2025-04-27,4892.09,EMEA
INV-12752,Crescent Group,2025-12-15,2026-02-13,6098.01,EMEA
INV-10573,Northgate Solutions,2025-08-17,2025-10-01,1986.71,EMEA
INV-11713,Harbor Solutions,2025-05-02,2025-07-01,209.47,EMEA
INV-12139,Harbor Supply Co.,2025-03-02,2025-04-16,485.32,North America
INV-12307,Atlas Partners,2025-07-23,2025-08-22,2555.62,EMEA
INV-12314,,2025-12-04,2026-01-03,2316.86,EMEA
INV-12366,Northgate Partners,2025-05-03,2025-06-02,5886.14,North America
INV-10431,Meridian Supply Co.,2025-11-10,2025-12-10,510.33,EMEA
INV-12609,Summit Partners,2025-02-12,2025-03-14,3318.8,EMEA
INV-11794,Meridian Holdings,2025-08-07,2025-09-06,2708.65,APAC
INV-10257,Cedar Group,2025-10-03,2025-11-02,4629.57,LATAM
INV-12264,Vantage Logistics,2025-01-16,2025-03-02,564.56,EMEA
INV-12785,Vantage Solutions,2025-04-19,2025-05-04,954.81,APAC
INV-10440,Brightpath Partners,2025-08-28,2025-10-12,1408.11,North America
INV-11972,Vantage Supply Co.,2025-01-08,2025-03-09,150.0,LATAM
INV-12015,Union Retail,2025-11-18,2025-12-18,3122.93,APAC
INV-12054,Atlas Industries,2025-12-23,2026-01-22,1126.25,EMEA
INV-12827,Summit Logistics,2025-05-04,2025-06-18,4546.91,EMEA
INV-12867,Meridian Holdings,2025-11-15,2025-11-30,695.95,LATAM
INV-10089,Summit Partners,2025-01-26,2025-03-12,918.94,North America
INV-12842,Northgate Group,2025-02-12,2025-03-14,378.05,North America
INV-11054,Falcon Solutions,2025-07-29,2025-08-13,1871.71,EMEA
INV-12047,Northgate Consulting,2025-12-11,2025-12-26,1480.58,North America
INV-12180,Atlas Holdings,2025-10-12,2025-12-11,1489.39,APAC
INV-10756,Union Logistics,2025-06-03,2025-07-03,15821.8,EMEA
INV-10606,Meridian Supply Co.,2025-09-08,2025-11-07,8015.37,LATAM
INV-10290,Pinnacle Consulting,2025-12-18,2026-01-17,845.2,North America
INV-11058,Harbor Consulting,2025-08-23,2025-10-22,4253.32,EMEA
INV-10153,Meridian Supply Co.,2025-12-24,2026-01-23,802.7,North America
INV-12335,Crescent Group,2025-04-14,2025-04-29,3298.9,LATAM
INV-12593,Falcon Holdings,2025-08-29,2025-09-28,1424.33,APAC
INV-12733,Anchor Supply Co.,2025-12-21,2026-01-20,2456.75,APAC
INV-11118,Cascade Manufacturing,2025-10-01,2025-10-16,1405.49,North America
INV-10848,Meridian Group,2025-11-19,2026-01-03,13490.89,LATAM
INV-10912,Crescent Logistics,2025-02-10,2025-03-12,1803.05,EMEA
INV-10677,Meridian Consulting,2025-06-19,2025-07-19,544.83,North America
INV-12917,Pinnacle Solutions,2025-07-06,2025-08-05,1263.94,EMEA
INV-11193,Silverline Retail,2025-07-09,2025-07-24,861.58,LATAM
INV-10865,Sterling Retail,2025-04-01,2025-05-01,852.77,North America
INV-11115,Meridian Manufacturing,2025-10-22,2025-11-21,1694.9,LATAM
INV-10600,Granite Manufacturing,2025-04-15,2025-05-15,2078.85,LATAM
INV-12243,Pinnacle Consulting,2025-02-22,2025-03-09,8767.41,EMEA
INV-12856,Anchor Consulting,2025-07-06,2025-07-21,932.74,North America
INV-12901,Northgate Solutions,2025-01-23,2025-02-07,1420.89,APAC
INV-10730,Brightpath Partners,2025-12-02,2026-01-01,734.75,EMEA
INV-10068,Falcon Industries,2025-07-17,2025-08-31,3652.55,APAC
INV-11237,Crescent Industries,2025-06-11,2025-07-11,6700.46,North America
INV-11587,Falcon Industries,2025-09-01,2025-10-01,1735.06,LATAM
INV-10970,Cascade Holdings,2025-12-15,2026-01-14,408.42,EMEA
INV-11049,Falcon Retail,2025-06-19,2025-08-03,5590.85,APAC
INV-10135,Cascade Industries,2025-04-04,2025-05-04,647.11,APAC
INV-11951,Crescent Consulting,2025-06-02,2025-07-02,300.15,LATAM
INV-11957,Anchor Holdings,2025-08-21,2025-10-20,216.57,North America
INV-11019 ,Summit Consulting,2025-03-01,2025-03-16,1109.53,North America
INV-11942,Vantage Solutions,2025-06-12,2025-07-27,1040.56,LATAM
INV-10322,,2025-07-23,2025-09-21,2529.16,LATAM
INV-10686,Meridian Solutions,2025-12-23,2026-01-22,2812.13,North America
INV-10638,Summit Retail,2025-01-16,2025-03-17,1581.27,LATAM
INV-11826,Harbor Solutions,2025-07-10,2025-08-09,2203.38,APAC
INV-11887,Summit Group,2025-09-01,2025-10-16,714.34,North America
INV-10409,Atlas Solutions,2025-08-14,2025-09-13,1649.56,EMEA
INV-11778,Northgate Industries,2025-12-07,2026-01-06,1431.77,EMEA
INV-11755,Cedar Industries,2025-08-20,2025-09-19,2345.1,North America
INV-11478,Cedar Holdings,2025-03-25,2025-04-24,2159.39,North America
INV-11240,Falcon Retail,2025-10-11,2025-11-10,6409.63,APAC
INV-12300,Cascade Logistics,2025-02-06,2025-03-08,382.69,EMEA
INV-10125,Pinnacle Logistics,2025-06-27,2025-08-11,2510.33,APAC
INV-10179,Bluepeak Consulting,2025-02-16,2025-03-18,1166.55,North America
INV-10444,Harbor Industries,2025-08-27,2025-10-26,1366.2,APAC
INV-11780,Northgate Holdings,2025-10-01,2025-10-31,793.79,North America
INV-10977,Brightpath Holdings,2025-07-31,2025-08-15,985.28,EMEA
INV-11737,Crescent Consulting,2025-12-09,2026-01-08,573.46,LATAM
INV-10451,Falcon Supply Co.,2025-03-06,2025-05-05,1399.11,North America
INV-11221,Cascade Logistics,2025-11-11,2025-12-11,508.35,APAC
INV-12830,Meridian Solutions,2025-03-30,2025-04-29,1064.38,EMEA
INV-10512,Falcon Solutions,2025-08-15,2025-10-14,1414.86,LATAM
INV-12859,Northgate Partners,2025-09-04,2025-10-04,4280.19,APAC
INV-12627,Falcon Supply Co.,2025-07-06,2025-08-05,5234.53,North America
INV-11048,Vantage Holdings,2025-07-06,2025-07-21,358.26,LATAM
INV-10323,Anchor Industries,2025-01-10,2025-02-09,708.82,APAC
INV-12964,Summit Solutions,2025-11-10,2025-11-25,571.98,LATAM
INV-10556,Northgate Group,2025-12-11,2026-01-10,1021.79,LATAM
INV-10777,Union Consulting,2025-11-24,2026-01-08,769.37,EMEA
INV-12348,Atlas Consulting,2025-07-29,2025-08-28,680.96,APAC
INV-12983,Pinnacle Manufacturing,2025-12-16,2026-01-15,2864.16,EMEA
INV-10333,Vantage Manufacturing,2025-06-29,2025-08-28,1584.82,EMEA
INV-10980,Cedar Holdings,2025-09-07,2025-10-07,2934.74,APAC
INV-12319,Falcon Industries,2025-10-01,2025-10-31,895.63,LATAM
INV-11919,Vantage Manufacturing,2025-07-06,2025-08-05,1272.41,EMEA
INV-12195 ,Redwood Holdings,2025-04-18,2025-05-18,1755.9,North America
INV-12132,Crescent Solutions,2025-05-16,2025-06-30,1506.67,LATAM
INV-11089,Brightpath Group,2025-03-08,2025-04-07,1172.46,APAC
INV-12795,Vantage Manufacturing,2025-12-08,2026-01-22,1439.0,APAC
INV-11158,Cascade Manufacturing,2025-09-07,2025-10-07,11239.53,APAC
INV-11741,Meridian Holdings,2025-11-18,2025-12-03,1347.49,APAC
INV-10813,,2025-12-31,2026-01-30,5444.06,North America
INV-12404,Summit Partners,2025-08-06,2025-09-05,1159.23,APAC
INV-11396,Sterling Group,2025-06-17,2025-08-01,1747.97,EMEA
INV-10081,Brightpath Industries,2025-05-26,2025-07-10,1214.75,North America
INV-11714,Brightpath Consulting,2025-07-12,2025-08-11,3173.78,LATAM
INV-11934,Cedar Industries,2025-02-27,2025-04-13,1345.67,North America
INV-12130,Vantage Supply Co.,2025-07-09,2025-09-07,2825.29,
INV-11128,Atlas Manufacturing,2025-10-03,2025-11-17,750.81,APAC
INV-10760,Cascade Solutions,2025-07-30,2025-09-13,2780.2,EMEA
INV-12701,Meridian Holdings,2025-03-07,2025-04-06,2096.72,APAC
INV-12286,Cascade Logistics,2025-11-23,2026-01-07,2243.64,EMEA
INV-12172,Harbor Solutions,2025-06-13,2025-07-13,1382.49,APAC
INV-10326,Northgate Group,2025-02-28,2025-03-30,496.32,APAC
INV-10651,Cascade Supply Co.,2025-02-13,2025-04-14,7817.03,EMEA
INV-10602,Silverline Holdings,2025-01-09,2025-02-08,645.52,LATAM
INV-11428,Bluepeak Manufacturing,2025-06-11,2025-07-11,548.46,North America
INV-10142,Silverline Manufacturing,2025-12-06,2026-01-20,4800.27,LATAM
INV-12498,Brightpath Consulting,2025-07-20,2025-08-19,1150.8,APAC
INV-11552,Brightpath Partners,2025-08-27,2025-10-11,1232.37,North America
INV-10765,Crescent Manufacturing,2025-10-11,2025-11-25,4164.48,North America
INV-10479,Brightpath Consulting,2025-10-11,2025-11-10,18000.0,LATAM
INV-11201,Meridian Consulting,2025-07-29,2025-08-28,1656.9,EMEA
INV-10845,Sterling Retail,2025-10-09,2025-11-08,1719.53,North America
INV-10544,Redwood Supply Co.,2025-09-02,2025-10-02,5417.62,APAC
INV-12113,Cascade Logistics,2025-06-04,2025-06-19,1535.83,APAC
INV-11002,Summit Holdings,2025-08-31,2025-10-30,3402.18,EMEA
INV-11103,Union Logistics,2025-12-16,2026-01-15,9696.66,North America
INV-10178,Pinnacle Manufacturing,2025-06-15,2025-07-30,5476.28,North America
INV-12321,Northgate Partners,2025-11-24,2025-12-24,2198.55,EMEA
INV-11134,Pinnacle Consulting,2025-05-29,2025-07-28,2226.49,APAC
INV-11660,Crescent Partners,2025-10-04,2025-11-03,4129.41,LATAM
INV-11028,Union Logistics,2025-04-03,2025-05-18,1649.17,APAC
INV-11728,Northgate Consulting,2025-05-07,2025-06-06,3063.31,EMEA
INV-11074,Harbor Manufacturing,2025-12-10,2025-12-25,466.52,APAC
INV-10757,Crescent Group,2025-11-25,2026-01-24,2307.65,North America
INV-10496,Union Logistics,2025-09-26,2025-11-25,2404.31,EMEA
INV-11579,Brightpath Group,2025-06-26,2025-07-11,764.23,North America
INV-12284,Falcon Holdings,2025-06-14,2025-08-13,612.13,LATAM
INV-12324,Pinnacle Consulting,2025-04-06,2025-05-06,6681.14,LATAM
INV-11689,Brightpath Logistics,2025-10-11,2025-11-10,1910.19,EMEA
INV-10943,Sterling Supply Co.,2025-09-08,2025-10-23,2657.61,EMEA
INV-10840,Anchor Holdings,2025-07-22,2025-08-21,1220.98,LATAM
INV-12630,Redwood Partners,2025-05-02,2025-07-01,961.46,EMEA
INV-10300,Vantage Holdings,2025-05-23,2025-07-07,2608.85,LATAM
INV-10163,Sterling Retail,2025-06-06,2025-07-21,4199.56,North America
INV-11717,Silverline Industries,2025-07-18,2025-08-17,1995.76,LATAM
INV-10999,Meridian Consulting,2025-11-01,2025-11-16,885.31,North America
INV-10904,Silverline Manufacturing,2025-07-09,2025-08-08,4677.91,EMEA
INV-10875,Northgate Manufacturing,2025-10-18,2025-11-02,1436.82,APAC
INV-12563,Summit Partners,2025-11-24,2025-12-24,643.63,LATAM
INV-11270,Crescent Consulting,2025-07-23,2025-08-07,4502.93,North America
INV-10031,Northgate Logistics,2025-11-14,2025-11-29,861.32,APAC
INV-10766,Ironwood Industries,2025-12-04,2026-01-03,786.14,EMEA
INV-10795,Silverline Partners,2025-01-23,2025-02-07,559.5,North America
INV-10174,Falcon Manufacturing,2025-11-01,2025-12-31,2012.31,APAC
INV-12288,Cedar Logistics,2025-07-22,2025-08-21,1180.41,LATAM
INV-10297 ,Cascade Industries,2025-10-23,2025-12-07,3326.38,EMEA
INV-11179,Harbor Industries,2025-05-13,2025-06-12,608.06,LATAM
INV-11821,Falcon Logistics,2025-11-03,2025-12-03,1315.36,APAC
INV-11875,Pinnacle Industries,2025-07-15,2025-08-29,4813.97,EMEA
INV-12658,Cascade Partners,2025-03-10,2025-04-09,3298.5,APAC
INV-11045,Cascade Logistics,2025-07-26,2025-08-25,1267.29,North America
INV-12104,Granite Manufacturing,2025-02-13,2025-03-15,4076.08,LATAM
INV-11845,Cedar Industries,2025-06-30,2025-07-30,1709.35,EMEA
INV-11290,Summit Holdings,2025-02-23,2025-03-25,213.24,North America
INV-10888,,2025-01-11,2025-02-10,1071.31,North America
INV-11874,Atlas Industries,2025-09-13,2025-11-12,2986.01,EMEA
INV-12687,Vantage Holdings,2025-12-02,2026-01-01,2258.24,LATAM
INV-10074,Silverline Holdings,2025-12-23,2026-01-22,6052.21,EMEA
INV-12764,Falcon Solutions,2025-05-13,2025-06-12,838.47,LATAM
INV-11865,Ironwood Manufacturing,2025-02-03,2025-03-05,4788.18,APAC
INV-12777,Harbor Manufacturing,2025-07-23,2025-08-22,1175.49,LATAM
INV-12005,Northgate Partners,2025-03-05,2025-04-04,269.28,EMEA
INV-11212,Union Retail,2025-07-19,2025-09-17,793.45,North America
INV-12812,Northgate Consulting,2025-12-04,2026-02-02,835.47,APAC
INV-12873,Ironwood Partners,2025-06-15,2025-07-15,226.26,APAC
INV-12346,Northgate Holdings,2025-07-30,2025-09-13,3973.64,APAC
INV-10355,Crescent Group,2025-02-11,2025-03-28,1455.18,APAC
INV-10706,Crescent Supply Co.,2025-08-03,2025-09-17,2553.98,LATAM
INV-12784,Cascade Industries,2025-08-09,2025-09-08,579.5,North America
INV-12252,Harbor Consulting,2025-01-30,2025-03-01,5767.76,North America
INV-12167,Granite Logistics,2025-10-05,2025-11-04,713.53,EMEA
INV-12629,Redwood Solutions,2025-06-19,2025-07-19,993.53,APAC
INV-11457,Harbor Manufacturing,2025-07-31,2025-08-30,2916.11,EMEA
INV-11559,Redwood Logistics,2025-09-03,2025-10-03,5672.7,APAC
INV-10325,Pinnacle Group,2025-12-30,2026-02-28,598.59,APAC
INV-12210,Cedar Industries,2025-05-23,2025-07-07,1479.36,LATAM
INV-12222,Summit Logistics,2025-06-11,2025-06-26,826.51,EMEA
INV-10433,Cascade Solutions,2025-03-30,2025-05-29,1161.58,North America
INV-10533,Union Industries,2025-11-09,2026-01-08,1394.83,LATAM
INV-12112,Union Industries,2025-12-24,2026-01-23,1278.56,EMEA
INV-12608,Crescent Manufacturing,2025-09-03,2025-10-03,203.36,LATAM
INV-10566,Northgate Group,2025-04-25,2025-05-10,1025.29,APAC
INV-11926,Northgate Consulting,2025-09-06,2025-10-21,647.13,LATAM
INV-10240,Pinnacle Partners,2025-11-18,2025-12-03,3188.13,APAC
INV-10582,Union Logistics,2025-11-26,2026-01-25,1018.66,APAC
INV-11076,Cascade Partners,2025-02-01,2025-04-02,949.2,EMEA
INV-11363,Sterling Retail,2025-08-28,2025-10-27,1648.5,APAC
INV-11024,Anchor Supply Co.,2025-07-17,2025-09-15,10178.61,LATAM
INV-11539,Redwood Manufacturing,2025-10-23,2025-11-22,516.5,APAC
INV-10486,Redwood Supply Co.,2025-08-31,2025-10-15,411.57,EMEA
INV-12220,Summit Consulting,2025-07-05,2025-08-19,1185.21,EMEA
INV-11749,Ironwood Industries,2025-10-15,2025-12-14,1755.7,EMEA
INV-10412,Northgate Manufacturing,2025-02-10,2025-03-12,537.98,APAC
INV-12100,Atlas Partners,2025-09-29,2025-10-29,3090.54,EMEA
INV-12326,Pinnacle Consulting,2025-12-04,2026-01-18,2702.32,LATAM
INV-12636,Bluepeak Manufacturing,2025-08-31,2025-09-30,3883.1,EMEA
INV-10622,Ironwood Logistics,2025-12-23,2026-01-22,2262.72,North America
INV-10927,Ironwood Holdings,2025-07-22,2025-08-21,895.13,North America
INV-10671,Summit Holdings,2025-05-04,2025-06-03,4543.61,LATAM
INV-10528,Bluepeak Group,2025-03-10,2025-04-24,1545.77,APAC
INV-11597,Cedar Industries,2025-05-02,2025-07-01,2584.37,APAC
INV-12918,Pinnacle Consulting,2025-07-24,2025-08-23,2702.11,APAC
